Image_Name,M1_Class,M1_Prob,M2_Class,M2_Prob,M3_Class,M3_Prob,M4_Class,M4_Prob,M5_Class,M5_Prob,Ensemble_Class,Ensemble_Prob
test_00001.png,1,0.4461,1,0.4461,1,0.8195,1,0.8561,1,0.4838,1,0.6636
test_00002.png,0,0.6639,0,0.6639,0,0.5896,1,0.4898,0,0.5899,0,0.6265
test_00003.png,0,0.6499,0,0.6499,4,0.5266,0,0.4939,4,0.7576,0,0.4270
test_00004.png,0,0.4780,0,0.4780,0,0.7593,0,0.7189,2,0.6464,0,0.5702
test_00005.png,0,0.7962,0,0.7962,0,0.7552,0,0.4743,0,0.7570,0,0.7320
test_00006.png,2,0.8206,2,0.8206,2,0.8285,4,0.8963,4,0.6956,2,0.5757
test_00007.png,3,0.7825,3,0.7825,3,0.8279,3,0.6942,3,0.6357,3,0.7584
test_00008.png,0,0.9897,0,0.9897,0,0.9870,0,0.9757,0,0.9694,0,0.9853
test_00009.png,0,0.6111,0,0.6111,0,0.8595,0,0.4997,0,0.7193,0,0.6782
test_00010.png,1,0.8031,1,0.8031,1,0.9762,1,0.9877,1,0.9842,1,0.9604
test_00011.png,3,0.6226,3,0.6226,3,0.4990,2,0.5581,3,0.9783,3,0.6987
test_00012.png,0,0.9195,0,0.9195,0,0.9057,0,0.9717,0,0.9844,0,0.9545
test_00013.png,4,0.6070,4,0.6070,1,0.6151,1,0.8634,1,0.6391,1,0.4368
test_00014.png,2,0.8081,2,0.8081,2,0.8834,2,0.6591,3,0.8097,2,0.6963
test_00015.png,3,0.5065,3,0.5065,0,0.7638,0,0.4967,0,0.9365,0,0.6790
test_00016.png,3,0.6141,3,0.6141,3,0.7226,3,0.6946,3,0.9210,3,0.8065
test_00017.png,4,0.9561,4,0.9561,4,0.8853,4,0.7203,4,0.8645,4,0.9107
test_00018.png,0,0.6283,0,0.6283,0,0.8772,0,0.8156,0,0.9268,0,0.8132
test_00019.png,2,0.6880,2,0.6880,0,0.5184,0,0.7510,0,0.7143,0,0.5341
test_00020.png,0,0.4967,0,0.4967,3,0.4563,1,0.6396,3,0.5525,3,0.4128
test_00021.png,2,0.5781,2,0.5781,4,0.6533,2,0.7695,2,0.7995,2,0.7097
test_00022.png,0,0.9174,0,0.9174,0,0.8724,0,0.9708,0,0.9556,0,0.9424
test_00023.png,3,0.8940,3,0.8940,3,0.7073,3,0.7349,3,0.6677,3,0.8146
test_00024.png,3,0.9967,3,0.9967,3,0.9662,3,0.9968,3,0.9911,3,0.9938
test_00025.png,4,0.8647,4,0.8647,4,0.9854,4,0.9483,4,0.9864,4,0.9668
test_00026.png,2,0.5950,2,0.5950,2,0.9777,2,0.9643,2,0.9285,2,0.8962
test_00027.png,3,0.8912,3,0.8912,3,0.8279,3,0.9067,3,0.9606,3,0.9113
test_00028.png,3,0.7978,3,0.7978,1,0.9589,1,0.9845,1,0.7842,1,0.7123
test_00029.png,0,0.9783,0,0.9783,0,0.9652,0,0.9641,0,0.9858,0,0.9792
test_00030.png,0,0.9344,0,0.9344,0,0.9098,0,0.9706,0,0.9510,0,0.9479
test_00031.png,1,0.6252,1,0.6252,1,0.8909,1,0.9629,1,0.9330,1,0.8879
test_00032.png,3,0.5221,3,0.5221,0,0.4536,3,0.5010,3,0.6713,3,0.5430
test_00033.png,0,0.9617,0,0.9617,0,0.8891,0,0.9527,0,0.9107,0,0.9485
test_00034.png,2,0.8667,2,0.8667,2,0.8067,2,0.5221,2,0.7617,2,0.7997
test_00035.png,0,0.9235,0,0.9235,0,0.8786,0,0.9174,0,0.9595,0,0.9292
test_00036.png,0,0.9777,0,0.9777,0,0.9562,0,0.9401,0,0.9751,0,0.9752
test_00037.png,0,0.5521,0,0.5521,2,0.6225,0,0.5566,0,0.6232,0,0.4867
test_00038.png,0,0.5421,0,0.5421,0,0.8428,0,0.4408,3,0.3869,0,0.4791
test_00039.png,4,0.9243,4,0.9243,4,0.9674,4,0.9777,4,0.9492,4,0.9561
test_00040.png,3,0.5071,3,0.5071,4,0.8835,4,0.6974,4,0.5934,4,0.5367
test_00041.png,4,0.9311,4,0.9311,4,0.9720,4,0.6950,4,0.8257,4,0.9224
test_00042.png,0,0.5279,0,0.5279,0,0.9304,0,0.8204,0,0.8509,0,0.7885
test_00043.png,2,0.6691,2,0.6691,4,0.9915,4,0.9217,4,0.9793,4,0.8944
test_00044.png,2,0.5825,2,0.5825,2,0.9137,2,0.9006,4,0.5715,2,0.7423
test_00045.png,3,0.9411,3,0.9411,3,0.8420,3,0.7876,3,0.9505,3,0.9116
test_00046.png,3,0.5176,3,0.5176,1,0.4287,1,0.3950,3,0.4672,4,0.3386
test_00047.png,0,0.9631,0,0.9631,0,0.8369,0,0.9801,0,0.9350,0,0.9538
test_00048.png,3,0.9902,3,0.9902,3,0.9901,3,0.9801,3,0.9928,3,0.9903
test_00049.png,4,0.4631,4,0.4631,4,0.6313,4,0.5049,3,0.5892,4,0.5538
test_00050.png,0,0.9805,0,0.9805,0,0.9337,0,0.9683,0,0.9677,0,0.9715
test_00051.png,4,0.4098,4,0.4098,4,0.3959,4,0.4334,2,0.6376,4,0.4253
test_00052.png,2,0.5186,2,0.5186,2,0.5055,1,0.3810,3,0.6283,2,0.3316
test_00053.png,0,0.9414,0,0.9414,0,0.7582,0,0.7092,0,0.8077,0,0.8643
test_00054.png,0,0.5871,0,0.5871,0,0.7099,0,0.5319,0,0.6193,0,0.6338
test_00055.png,4,0.9637,4,0.9637,4,0.9668,4,0.9580,4,0.9722,4,0.9675
test_00056.png,2,0.5270,2,0.5270,2,0.7158,2,0.5334,2,0.8519,2,0.6534
test_00057.png,0,0.8936,0,0.8936,0,0.7034,0,0.6543,0,0.7466,0,0.8734
test_00058.png,2,0.5714,2,0.5714,4,0.7263,2,0.5656,0,0.5287,2,0.3031
test_00059.png,0,0.9126,0,0.9126,0,0.6787,0,0.8871,0,0.8927,0,0.8808
test_00060.png,0,0.6610,0,0.6610,4,0.4687,0,0.7536,3,0.6842,0,0.5117
test_00061.png,1,0.5056,1,0.5056,1,0.3575,1,0.8417,3,0.4483,1,0.5632
test_00062.png,4,0.9697,4,0.9697,4,0.9915,4,0.9799,4,0.9838,4,0.9833
test_00063.png,0,0.5885,0,0.5885,0,0.9485,0,0.8686,0,0.9564,0,0.8649
test_00064.png,0,0.9589,0,0.9589,0,0.9338,0,0.9144,0,0.9823,0,0.9612
test_00065.png,0,0.9407,0,0.9407,0,0.9369,0,0.9477,0,0.9851,0,0.9589
test_00066.png,3,0.7618,3,0.7618,3,0.5624,3,0.4764,3,0.6838,3,0.6788
test_00067.png,3,0.7024,3,0.7024,0,0.7136,0,0.7977,0,0.8264,0,0.6021
test_00068.png,4,0.9561,4,0.9561,4,0.9727,4,0.9838,4,0.9733,4,0.9737
test_00069.png,1,0.8693,1,0.8693,1,0.9831,1,0.9891,1,0.9007,1,0.9630
test_00070.png,0,0.9084,0,0.9084,0,0.9691,0,0.9615,0,0.9559,0,0.9514
test_00071.png,1,0.7621,1,0.7621,1,0.9948,1,0.9855,1,0.9491,1,0.9623
test_00072.png,0,0.9488,0,0.9488,0,0.9038,0,0.9206,0,0.9824,0,0.9506
test_00073.png,4,0.5123,4,0.5123,4,0.8831,4,0.6477,4,0.8451,4,0.7220
test_00074.png,2,0.7155,2,0.7155,1,0.9137,1,0.9457,1,0.6632,1,0.6096
test_00075.png,0,0.8898,0,0.8898,0,0.8349,0,0.7227,0,0.9378,0,0.8980
test_00076.png,0,0.8944,0,0.8944,0,0.8850,0,0.9435,0,0.9622,0,0.9248
test_00077.png,4,0.7054,4,0.7054,1,0.7789,1,0.7084,2,0.4317,1,0.4564
test_00078.png,0,0.9305,0,0.9305,0,0.9203,0,0.9702,0,0.9700,0,0.9546
test_00079.png,0,0.9612,0,0.9612,0,0.8638,0,0.9340,0,0.9202,0,0.9414
test_00080.png,0,0.7413,0,0.7413,0,0.9416,0,0.8807,0,0.9620,0,0.8959
test_00081.png,4,0.9022,4,0.9022,4,0.9560,4,0.6621,4,0.9265,4,0.9091
test_00082.png,4,0.9030,4,0.9030,4,0.9494,4,0.9487,4,0.9657,4,0.9477
test_00083.png,4,0.7844,4,0.7844,4,0.7181,1,0.7127,1,0.7561,4,0.5446
test_00084.png,2,0.7568,2,0.7568,1,0.3851,0,0.6130,0,0.4779,2,0.4921
test_00085.png,1,0.3741,1,0.3741,1,0.9459,1,0.9217,1,0.8800,1,0.7936
test_00086.png,4,0.9370,4,0.9370,4,0.9365,4,0.9032,4,0.9209,4,0.9317
test_00087.png,3,0.9803,3,0.9803,3,0.9606,3,0.9589,3,0.9836,3,0.9755
test_00088.png,3,0.7684,3,0.7684,3,0.7577,3,0.9099,3,0.9043,3,0.8606
test_00089.png,0,0.9072,0,0.9072,0,0.6122,0,0.6498,0,0.9685,0,0.8843
test_00090.png,4,0.9555,4,0.9555,4,0.9716,4,0.9421,4,0.9531,4,0.9628
test_00091.png,3,0.7976,3,0.7976,0,0.6233,0,0.8630,0,0.8976,0,0.5893
test_00092.png,2,0.8143,2,0.8143,2,0.6788,4,0.4595,4,0.3596,2,0.6558
test_00093.png,0,0.9493,0,0.9493,0,0.7305,0,0.9382,0,0.9015,0,0.9219
test_00094.png,4,0.9062,4,0.9062,4,0.9694,4,0.9375,4,0.9805,4,0.9570
test_00095.png,0,0.8165,0,0.8165,0,0.8736,0,0.7892,0,0.5761,0,0.7965
test_00096.png,0,0.9833,0,0.9833,0,0.9623,0,0.9839,0,0.9947,0,0.9854
test_00097.png,0,0.9264,0,0.9264,0,0.9625,0,0.8780,0,0.9244,0,0.9328
test_00098.png,2,0.8989,2,0.8989,2,0.7874,2,0.8616,2,0.8619,2,0.8814
test_00099.png,2,0.7120,2,0.7120,2,0.9704,2,0.8772,2,0.8458,2,0.8689
test_00100.png,2,0.9472,2,0.9472,2,0.9956,2,0.9514,2,0.9605,2,0.9713
test_00101.png,0,0.4416,0,0.4416,2,0.9576,2,0.5235,2,0.6580,2,0.6787
test_00102.png,2,0.4498,2,0.4498,2,0.5189,2,0.8930,2,0.5324,2,0.6385
test_00103.png,2,0.9238,2,0.9238,2,0.9879,2,0.9597,2,0.9745,2,0.9698
test_00104.png,2,0.5183,2,0.5183,0,0.5837,4,0.3572,0,0.4324,0,0.4139
test_00105.png,0,0.9711,0,0.9711,0,0.9597,0,0.9976,0,0.9920,0,0.9869
test_00106.png,4,0.8588,4,0.8588,4,0.9084,4,0.8516,4,0.9292,4,0.8972
test_00107.png,2,0.7279,2,0.7279,2,0.8588,2,0.7583,2,0.9881,2,0.8710
test_00108.png,0,0.9521,0,0.9521,0,0.9544,0,0.9581,0,0.9875,0,0.9662
